                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5802,                 2.7294,                 1.8416,                0.12604,                0.49717,                0.16237,                0.05821,                 2.5583,                 17.945,                 3.5361,             0.00041441,             0.00041441,             0.00041441
                      2,                 1.6075,                 2.2514,                 1.8142,                0.10166,                0.54283,                 0.0935,                0.02535,                 2.6633,                 11.697,                 4.4328,             0.00083715,             0.00083715,             0.00083715
                      3,                 1.6826,                 2.2757,                 1.8882,                0.01081,                   0.04,                0.00341,                0.00067,                 4.5763,                 85.833,                 23.756,              0.0012538,              0.0012538,              0.0012538
                      4,                 1.6588,                 2.2046,                 1.8656,                0.02874,                0.10919,                0.00935,                0.00192,                 3.3782,                 37.476,                 4.3139,              0.0013987,              0.0013987,              0.0013987
                      5,                 1.6354,                  2.106,                  1.864,                0.07599,                0.21804,                0.05241,                0.01617,                 2.7797,                 15.994,                  3.572,              0.0013886,              0.0013886,              0.0013886
                      6,                 1.6217,                 2.1234,                 1.8407,                 0.0586,                0.29277,                0.05132,                0.01411,                 2.8614,                 7.3566,                 3.3861,              0.0013785,              0.0013785,              0.0013785
                      7,                 1.5963,                  2.042,                 1.7994,                 0.1391,                0.31094,                0.11016,                0.03316,                 2.2017,                 5.7199,                 2.7015,              0.0013684,              0.0013684,              0.0013684
                      8,                 1.5372,                 1.9741,                 1.7651,                0.31329,                0.38388,                0.31601,                0.10518,                 2.0423,                  2.778,                 2.3495,              0.0013583,              0.0013583,              0.0013583
                      9,                 1.5533,                 1.9293,                 1.7496,                0.30536,                  0.398,                 0.2917,                0.11385,                 2.1397,                 2.4429,                 2.3913,              0.0013482,              0.0013482,              0.0013482
                     10,                 1.5299,                 1.8509,                  1.732,                 0.1937,                0.26405,                0.10614,                0.04328,                 2.1729,                 26.945,                 2.3434,              0.0013381,              0.0013381,              0.0013381
                     11,                 1.4698,                 1.7734,                 1.6917,                0.49916,                0.45028,                0.41084,                0.16351,                 2.2135,                 1.9578,                  2.346,              0.0013279,              0.0013279,              0.0013279
